"Stasiun","Tahun","Bulan","Jumlah Ch","Keterangan Ch","Tanggal"
"KEC. KARANG PUCUNG","1980","10","154","1","1980/10"
"KEC. KARANG PUCUNG","1980","11","493","2","1980/11"
"KEC. KARANG PUCUNG","1980","12","332","2","1980/12"
"KEC. KARANG PUCUNG","1981","1","258","1","1981/1"
"KEC. KARANG PUCUNG","1981","2","338","2","1981/2"
"KEC. KARANG PUCUNG","1981","3","603","3","1981/3"
"KEC. KARANG PUCUNG","1981","4","246","1","1981/4"
"KEC. KARANG PUCUNG","1981","5","185","1","1981/5"
"KEC. KARANG PUCUNG","1981","6","193","1","1981/6"
"KEC. KARANG PUCUNG","1981","7","233","1","1981/7"
"KEC. KARANG PUCUNG","1981","8","141","1","1981/8"
"KEC. KARANG PUCUNG","1981","9","163","1","1981/9"
"KEC. KARANG PUCUNG","1981","10","163","1","1981/10"
"KEC. KARANG PUCUNG","1981","11","374","2","1981/11"
"KEC. KARANG PUCUNG","1981","12","428","2","1981/12"
"KEC. KARANG PUCUNG","1982","1","426","2","1982/1"
"KEC. KARANG PUCUNG","1982","2","304","2","1982/2"
"KEC. KARANG PUCUNG","1982","3","286","1","1982/3"
"KEC. KARANG PUCUNG","1982","4","226","1","1982/4"
"KEC. KARANG PUCUNG","1982","5","357","2","1982/5"
"KEC. KARANG PUCUNG","1982","6","","3","1982/6"
"KEC. KARANG PUCUNG","1982","7","","3","1982/7"
"KEC. KARANG PUCUNG","1982","8","","3","1982/8"
"KEC. KARANG PUCUNG","1982","9","","3","1982/9"
"KEC. KARANG PUCUNG","1982","10","","3","1982/10"
"KEC. KARANG PUCUNG","1982","11","224","1","1982/11"
"KEC. KARANG PUCUNG","1982","12","505","3","1982/12"
"KEC. KARANG PUCUNG","1983","1","417","2","1983/1"
"KEC. KARANG PUCUNG","1983","2","283","1","1983/2"
"KEC. KARANG PUCUNG","1983","3","159","1","1983/3"
"KEC. KARANG PUCUNG","1983","4","167","1","1983/4"
"KEC. KARANG PUCUNG","1983","5","357","2","1983/5"
"KEC. KARANG PUCUNG","1983","6","50","0","1983/6"
"KEC. KARANG PUCUNG","1983","7","15","0","1983/7"
"KEC. KARANG PUCUNG","1983","8","","3","1983/8"
"KEC. KARANG PUCUNG","1983","9","","3","1983/9"
"KEC. KARANG PUCUNG","1983","10","269","1","1983/10"
"KEC. KARANG PUCUNG","1983","11","511","3","1983/11"
"KEC. KARANG PUCUNG","1983","12","149","1","1983/12"
"KEC. KARANG PUCUNG","1984","1","460","2","1984/1"
"KEC. KARANG PUCUNG","1984","2","340","2","1984/2"
"KEC. KARANG PUCUNG","1984","3","313","2","1984/3"
"KEC. KARANG PUCUNG","1984","4","356","2","1984/4"
"KEC. KARANG PUCUNG","1984","5","172","1","1984/5"
"KEC. KARANG PUCUNG","1984","6","170","1","1984/6"
"KEC. KARANG PUCUNG","1984","7","","3","1984/7"
"KEC. KARANG PUCUNG","1984","8","4","0","1984/8"
"KEC. KARANG PUCUNG","1984","9","349","2","1984/9"
"KEC. KARANG PUCUNG","1984","10","360","2","1984/10"
"KEC. KARANG PUCUNG","1984","11","286","1","1984/11"
"KEC. KARANG PUCUNG","1984","12","293","1","1984/12"
"KEC. KARANG PUCUNG","1985","1","234","1","1985/1"
"KEC. KARANG PUCUNG","1985","2","","3","1985/2"
"KEC. KARANG PUCUNG","1985","3","379","2","1985/3"
"KEC. KARANG PUCUNG","1985","4","172","1","1985/4"
"KEC. KARANG PUCUNG","1985","5","117","1","1985/5"
"KEC. KARANG PUCUNG","1985","6","212","1","1985/6"
"KEC. KARANG PUCUNG","1985","7","28","0","1985/7"
"KEC. KARANG PUCUNG","1985","8","15","0","1985/8"
"KEC. KARANG PUCUNG","1985","9","","3","1985/9"
"KEC. KARANG PUCUNG","1985","10","","3","1985/10"
"KEC. KARANG PUCUNG","1985","11","367","2","1985/11"
"KEC. KARANG PUCUNG","1985","12","157","1","1985/12"
"KEC. KARANG PUCUNG","1986","1","","3","1986/1"
"KEC. KARANG PUCUNG","1986","2","","3","1986/2"
"KEC. KARANG PUCUNG","1986","3","406","2","1986/3"
"KEC. KARANG PUCUNG","1986","4","440","2","1986/4"
"KEC. KARANG PUCUNG","1986","5","55","0","1986/5"
"KEC. KARANG PUCUNG","1986","6","203","1","1986/6"
"KEC. KARANG PUCUNG","1986","7","137","1","1986/7"
"KEC. KARANG PUCUNG","1986","8","69","0","1986/8"
"KEC. KARANG PUCUNG","1986","9","506","3","1986/9"
"KEC. KARANG PUCUNG","1986","10","","3","1986/10"
"KEC. KARANG PUCUNG","1986","11","","3","1986/11"
"KEC. KARANG PUCUNG","1986","12","","3","1986/12"
"KEC. KARANG PUCUNG","1987","1","","3","1987/1"
"KEC. KARANG PUCUNG","1987","2","","3","1987/2"
"KEC. KARANG PUCUNG","1987","3","555","3","1987/3"
"KEC. KARANG PUCUNG","1987","4","","3","1987/4"
"KEC. KARANG PUCUNG","1987","5","","3","1987/5"
"KEC. KARANG PUCUNG","1987","6","93","0","1987/6"
"KEC. KARANG PUCUNG","1987","7","8","0","1987/7"
"KEC. KARANG PUCUNG","1987","8","","3","1987/8"
"KEC. KARANG PUCUNG","1987","9","","3","1987/9"
"KEC. KARANG PUCUNG","1987","10","5","0","1987/10"
"KEC. KARANG PUCUNG","1987","11","397","2","1987/11"
"KEC. KARANG PUCUNG","1987","12","508","3","1987/12"
"KEC. KARANG PUCUNG","1988","1","477","2","1988/1"
"KEC. KARANG PUCUNG","1988","2","241","1","1988/2"
"KEC. KARANG PUCUNG","1988","3","406","2","1988/3"
"KEC. KARANG PUCUNG","1988","4","440","2","1988/4"
"KEC. KARANG PUCUNG","1988","5","55","0","1988/5"
"KEC. KARANG PUCUNG","1988","6","203","1","1988/6"
"KEC. KARANG PUCUNG","1988","7","137","1","1988/7"
"KEC. KARANG PUCUNG","1988","8","69","0","1988/8"
"KEC. KARANG PUCUNG","1988","9","506","3","1988/9"
"KEC. KARANG PUCUNG","1988","10","223","1","1988/10"
"KEC. KARANG PUCUNG","1988","11","464","2","1988/11"
"KEC. KARANG PUCUNG","1988","12","254","1","1988/12"
"KEC. KARANG PUCUNG","1989","1","421","2","1989/1"
"KEC. KARANG PUCUNG","1989","2","717","3","1989/2"
"KEC. KARANG PUCUNG","1989","3","400","2","1989/3"
"KEC. KARANG PUCUNG","1989","4","247","1","1989/4"
"KEC. KARANG PUCUNG","1989","5","159","1","1989/5"
"KEC. KARANG PUCUNG","1989","6","282","1","1989/6"
"KEC. KARANG PUCUNG","1989","7","27","0","1989/7"
"KEC. KARANG PUCUNG","1989","8","","3","1989/8"
"KEC. KARANG PUCUNG","1989","9","","3","1989/9"
"KEC. KARANG PUCUNG","1989","10","60","0","1989/10"
"KEC. KARANG PUCUNG","1989","11","207","1","1989/11"
"KEC. KARANG PUCUNG","1989","12","330","2","1989/12"
"KEC. KARANG PUCUNG","1990","1","338","2","1990/1"
"KEC. KARANG PUCUNG","1990","2","342","2","1990/2"
"KEC. KARANG PUCUNG","1990","3","199","1","1990/3"
"KEC. KARANG PUCUNG","1990","4","","3","1990/4"
"KEC. KARANG PUCUNG","1990","5","100","0","1990/5"
"KEC. KARANG PUCUNG","1990","6","109","1","1990/6"
"KEC. KARANG PUCUNG","1990","7","79","0","1990/7"
"KEC. KARANG PUCUNG","1990","8","66","0","1990/8"
"KEC. KARANG PUCUNG","1990","9","","3","1990/9"
"KEC. KARANG PUCUNG","1990","10","334","2","1990/10"
"KEC. KARANG PUCUNG","1990","11","125","1","1990/11"
"KEC. KARANG PUCUNG","1990","12","303","2","1990/12"
"KEC. KARANG PUCUNG","1991","1","738","3","1991/1"
"KEC. KARANG PUCUNG","1991","2","469","2","1991/2"
"KEC. KARANG PUCUNG","1991","3","138","1","1991/3"
"KEC. KARANG PUCUNG","1991","4","379","2","1991/4"
"KEC. KARANG PUCUNG","1991","5","122","1","1991/5"
"KEC. KARANG PUCUNG","1991","6","103","1","1991/6"
"KEC. KARANG PUCUNG","1991","7","","3","1991/7"
"KEC. KARANG PUCUNG","1991","8","","3","1991/8"
"KEC. KARANG PUCUNG","1991","9","","3","1991/9"
"KEC. KARANG PUCUNG","1991","10","","3","1991/10"
"KEC. KARANG PUCUNG","1991","11","241","1","1991/11"
"KEC. KARANG PUCUNG","1991","12","487","2","1991/12"
"KEC. KARANG PUCUNG","1992","1","360","2","1992/1"
"KEC. KARANG PUCUNG","1992","2","424","2","1992/2"
"KEC. KARANG PUCUNG","1992","3","495","2","1992/3"
"KEC. KARANG PUCUNG","1992","4","566","3","1992/4"
"KEC. KARANG PUCUNG","1992","5","186","1","1992/5"
"KEC. KARANG PUCUNG","1992","6","118","1","1992/6"
"KEC. KARANG PUCUNG","1992","7","42","0","1992/7"
"KEC. KARANG PUCUNG","1992","8","235","1","1992/8"
"KEC. KARANG PUCUNG","1992","9","120","1","1992/9"
"KEC. KARANG PUCUNG","1992","10","370","2","1992/10"
"KEC. KARANG PUCUNG","1992","11","299","1","1992/11"
"KEC. KARANG PUCUNG","1992","12","237","1","1992/12"
"KEC. KARANG PUCUNG","1993","1","512","3","1993/1"
"KEC. KARANG PUCUNG","1993","2","313","2","1993/2"
"KEC. KARANG PUCUNG","1993","3","193","1","1993/3"
"KEC. KARANG PUCUNG","1993","4","226","1","1993/4"
"KEC. KARANG PUCUNG","1993","5","57","0","1993/5"
"KEC. KARANG PUCUNG","1993","6","117","1","1993/6"
"KEC. KARANG PUCUNG","1993","7","","3","1993/7"
"KEC. KARANG PUCUNG","1993","8","","3","1993/8"
"KEC. KARANG PUCUNG","1993","9","","3","1993/9"
"KEC. KARANG PUCUNG","1993","10","","3","1993/10"
"KEC. KARANG PUCUNG","1993","11","438","2","1993/11"
"KEC. KARANG PUCUNG","1993","12","452","2","1993/12"
"KEC. KARANG PUCUNG","1994","1","403","2","1994/1"
"KEC. KARANG PUCUNG","1994","2","387","2","1994/2"
"KEC. KARANG PUCUNG","1994","3","446","2","1994/3"
"KEC. KARANG PUCUNG","1994","4","315","2","1994/4"
"KEC. KARANG PUCUNG","1994","5","","3","1994/5"
"KEC. KARANG PUCUNG","1994","6","","3","1994/6"
"KEC. KARANG PUCUNG","1994","7","","3","1994/7"
"KEC. KARANG PUCUNG","1994","8","","3","1994/8"
"KEC. KARANG PUCUNG","1994","9","","3","1994/9"
"KEC. KARANG PUCUNG","1994","10","","3","1994/10"
"KEC. KARANG PUCUNG","1994","11","155","1","1994/11"
"KEC. KARANG PUCUNG","1994","12","259","1","1994/12"
"KEC. KARANG PUCUNG","1995","1","575","3","1995/1"
"KEC. KARANG PUCUNG","1995","2","545","3","1995/2"
"KEC. KARANG PUCUNG","1995","3","211","1","1995/3"
"KEC. KARANG PUCUNG","1995","4","319","2","1995/4"
"KEC. KARANG PUCUNG","1995","5","223","1","1995/5"
"KEC. KARANG PUCUNG","1995","6","289","1","1995/6"
"KEC. KARANG PUCUNG","1995","7","95","0","1995/7"
"KEC. KARANG PUCUNG","1995","8","","3","1995/8"
"KEC. KARANG PUCUNG","1995","9","","3","1995/9"
"KEC. KARANG PUCUNG","1995","10","27","0","1995/10"
"KEC. KARANG PUCUNG","1995","11","316","2","1995/11"
"KEC. KARANG PUCUNG","1995","12","164","1","1995/12"
"KEC. KARANG PUCUNG","1996","1","147","1","1996/1"
"KEC. KARANG PUCUNG","1996","2","401","2","1996/2"
"KEC. KARANG PUCUNG","1996","3","308","2","1996/3"
"KEC. KARANG PUCUNG","1996","4","140","1","1996/4"
"KEC. KARANG PUCUNG","1996","5","","3","1996/5"
"KEC. KARANG PUCUNG","1996","6","78","0","1996/6"
"KEC. KARANG PUCUNG","1996","7","","3","1996/7"
"KEC. KARANG PUCUNG","1996","8","","3","1996/8"
"KEC. KARANG PUCUNG","1996","9","","3","1996/9"
"KEC. KARANG PUCUNG","1996","10","1280","3","1996/10"
"KEC. KARANG PUCUNG","1996","11","278","1","1996/11"
"KEC. KARANG PUCUNG","1996","12","222","1","1996/12"
"KEC. KARANG PUCUNG","1997","1","184","1","1997/1"
"KEC. KARANG PUCUNG","1997","2","357","2","1997/2"
"KEC. KARANG PUCUNG","1997","3","235","1","1997/3"
"KEC. KARANG PUCUNG","1997","4","248","1","1997/4"
"KEC. KARANG PUCUNG","1997","5","38","0","1997/5"
"KEC. KARANG PUCUNG","1997","6","13","0","1997/6"
"KEC. KARANG PUCUNG","1997","7","3","0","1997/7"
"KEC. KARANG PUCUNG","1997","8","","3","1997/8"
"KEC. KARANG PUCUNG","1997","9","","3","1997/9"
"KEC. KARANG PUCUNG","1997","10","","3","1997/10"
"KEC. KARANG PUCUNG","1997","11","116","1","1997/11"
"KEC. KARANG PUCUNG","1997","12","340","2","1997/12"
"KEC. KARANG PUCUNG","1998","1","208","1","1998/1"
"KEC. KARANG PUCUNG","1998","2","390","2","1998/2"
"KEC. KARANG PUCUNG","1998","3","402","2","1998/3"
"KEC. KARANG PUCUNG","1998","4","343","2","1998/4"
"KEC. KARANG PUCUNG","1998","5","133","1","1998/5"
"KEC. KARANG PUCUNG","1998","6","289","1","1998/6"
"KEC. KARANG PUCUNG","1998","7","292","1","1998/7"
"KEC. KARANG PUCUNG","1998","8","156","1","1998/8"
"KEC. KARANG PUCUNG","1998","9","249","1","1998/9"
"KEC. KARANG PUCUNG","1998","10","424","2","1998/10"
"KEC. KARANG PUCUNG","1998","11","449","2","1998/11"
"KEC. KARANG PUCUNG","1998","12","390","2","1998/12"
"KEC. KARANG PUCUNG","1999","1","","3","1999/1"
"KEC. KARANG PUCUNG","1999","2","","3","1999/2"
"KEC. KARANG PUCUNG","1999","3","","3","1999/3"
"KEC. KARANG PUCUNG","1999","4","","3","1999/4"
"KEC. KARANG PUCUNG","1999","5","","3","1999/5"
"KEC. KARANG PUCUNG","1999","6","","3","1999/6"
"KEC. KARANG PUCUNG","1999","7","","3","1999/7"
"KEC. KARANG PUCUNG","1999","8","","3","1999/8"
"KEC. KARANG PUCUNG","1999","9","","3","1999/9"
"KEC. KARANG PUCUNG","1999","10","","3","1999/10"
"KEC. KARANG PUCUNG","1999","11","","3","1999/11"
"KEC. KARANG PUCUNG","1999","12","","3","1999/12"
"KEC. KARANG PUCUNG","2000","1","","3","2000/1"
"KEC. KARANG PUCUNG","2000","2","","3","2000/2"
"KEC. KARANG PUCUNG","2000","3","","3","2000/3"
"KEC. KARANG PUCUNG","2000","4","","3","2000/4"
"KEC. KARANG PUCUNG","2000","5","","3","2000/5"
"KEC. KARANG PUCUNG","2000","6","","3","2000/6"
"KEC. KARANG PUCUNG","2000","7","","3","2000/7"
"KEC. KARANG PUCUNG","2000","8","","3","2000/8"
"KEC. KARANG PUCUNG","2000","9","35","0","2000/9"
"KEC. KARANG PUCUNG","2000","10","484","2","2000/10"
"KEC. KARANG PUCUNG","2000","11","363","2","2000/11"
"KEC. KARANG PUCUNG","2000","12","202","1","2000/12"
"KEC. KARANG PUCUNG","2001","1","376","2","2001/1"
"KEC. KARANG PUCUNG","2001","2","258","1","2001/2"
"KEC. KARANG PUCUNG","2001","3","452","2","2001/3"
"KEC. KARANG PUCUNG","2001","4","390","2","2001/4"
"KEC. KARANG PUCUNG","2001","5","72","0","2001/5"
"KEC. KARANG PUCUNG","2001","6","143","1","2001/6"
"KEC. KARANG PUCUNG","2001","7","34","0","2001/7"
"KEC. KARANG PUCUNG","2001","8","","3","2001/8"
"KEC. KARANG PUCUNG","2001","9","","3","2001/9"
"KEC. KARANG PUCUNG","2001","10","718","3","2001/10"
"KEC. KARANG PUCUNG","2001","11","679","3","2001/11"
"KEC. KARANG PUCUNG","2001","12","119","1","2001/12"
"KEC. KARANG PUCUNG","2002","1","403","2","2002/1"
"KEC. KARANG PUCUNG","2002","2","180","1","2002/2"
"KEC. KARANG PUCUNG","2002","3","","3","2002/3"
"KEC. KARANG PUCUNG","2002","4","185","1","2002/4"
"KEC. KARANG PUCUNG","2002","5","8","0","2002/5"
"KEC. KARANG PUCUNG","2002","6","","3","2002/6"
"KEC. KARANG PUCUNG","2002","7","6","0","2002/7"
"KEC. KARANG PUCUNG","2002","8","","3","2002/8"
"KEC. KARANG PUCUNG","2002","9","","3","2002/9"
"KEC. KARANG PUCUNG","2002","10","","3","2002/10"
"KEC. KARANG PUCUNG","2002","11","","3","2002/11"
"KEC. KARANG PUCUNG","2002","12","","3","2002/12"
"KEC. KARANG PUCUNG","2003","1","","3","2003/1"
"KEC. KARANG PUCUNG","2003","2","412","2","2003/2"
"KEC. KARANG PUCUNG","2003","3","348","2","2003/3"
"KEC. KARANG PUCUNG","2003","4","73","0","2003/4"
"KEC. KARANG PUCUNG","2003","5","235","1","2003/5"
"KEC. KARANG PUCUNG","2003","6","","3","2003/6"
"KEC. KARANG PUCUNG","2003","7","","3","2003/7"
"KEC. KARANG PUCUNG","2003","8","","3","2003/8"
"KEC. KARANG PUCUNG","2003","9","","3","2003/9"
"KEC. KARANG PUCUNG","2003","10","","3","2003/10"
"KEC. KARANG PUCUNG","2003","11","","3","2003/11"
"KEC. KARANG PUCUNG","2003","12","","3","2003/12"
"KEC. KARANG PUCUNG","2004","1","369","2","2004/1"
"KEC. KARANG PUCUNG","2004","2","199","1","2004/2"
"KEC. KARANG PUCUNG","2004","3","197","1","2004/3"
"KEC. KARANG PUCUNG","2004","4","41","0","2004/4"
"KEC. KARANG PUCUNG","2004","5","","3","2004/5"
"KEC. KARANG PUCUNG","2004","6","","3","2004/6"
"KEC. KARANG PUCUNG","2004","7","70","0","2004/7"
"KEC. KARANG PUCUNG","2004","8","","3","2004/8"
"KEC. KARANG PUCUNG","2004","9","11","0","2004/9"
"KEC. KARANG PUCUNG","2004","10","116","1","2004/10"
"KEC. KARANG PUCUNG","2004","11","","3","2004/11"
"KEC. KARANG PUCUNG","2004","12","","3","2004/12"
"KEC. KARANG PUCUNG","2005","1","424","2","2005/1"
"KEC. KARANG PUCUNG","2005","2","409","2","2005/2"
"KEC. KARANG PUCUNG","2005","3","360","2","2005/3"
"KEC. KARANG PUCUNG","2005","4","121","1","2005/4"
"KEC. KARANG PUCUNG","2005","5","142","1","2005/5"
"KEC. KARANG PUCUNG","2005","6","118","1","2005/6"
"KEC. KARANG PUCUNG","2005","7","120","1","2005/7"
"KEC. KARANG PUCUNG","2005","8","","3","2005/8"
"KEC. KARANG PUCUNG","2005","9","","3","2005/9"
"KEC. KARANG PUCUNG","2005","10","","3","2005/10"
"KEC. KARANG PUCUNG","2005","11","","3","2005/11"
"KEC. KARANG PUCUNG","2005","12","","3","2005/12"
"KEC. KARANG PUCUNG","2006","1","405","2","2006/1"
"KEC. KARANG PUCUNG","2006","2","138","1","2006/2"
"KEC. KARANG PUCUNG","2006","3","188","1","2006/3"
"KEC. KARANG PUCUNG","2006","4","198","1","2006/4"
"KEC. KARANG PUCUNG","2006","5","111","1","2006/5"
"KEC. KARANG PUCUNG","2006","6","92","0","2006/6"
"KEC. KARANG PUCUNG","2006","7","","3","2006/7"
"KEC. KARANG PUCUNG","2006","8","","3","2006/8"
"KEC. KARANG PUCUNG","2006","9","","3","2006/9"
"KEC. KARANG PUCUNG","2006","10","","3","2006/10"
"KEC. KARANG PUCUNG","2006","11","132","1","2006/11"
"KEC. KARANG PUCUNG","2006","12","437","2","2006/12"
"KEC. KARANG PUCUNG","2007","1","173","1","2007/1"
"KEC. KARANG PUCUNG","2007","2","297","1","2007/2"
"KEC. KARANG PUCUNG","2007","3","189","1","2007/3"
"KEC. KARANG PUCUNG","2007","4","372","2","2007/4"
"KEC. KARANG PUCUNG","2007","5","235","1","2007/5"
"KEC. KARANG PUCUNG","2007","6","30","0","2007/6"
"KEC. KARANG PUCUNG","2007","7","","3","2007/7"
"KEC. KARANG PUCUNG","2007","8","","3","2007/8"
"KEC. KARANG PUCUNG","2007","9","","3","2007/9"
"KEC. KARANG PUCUNG","2007","10","","3","2007/10"
"KEC. KARANG PUCUNG","2007","11","256","1","2007/11"
"KEC. KARANG PUCUNG","2007","12","178","1","2007/12"
"KEC. KARANG PUCUNG","2008","1","315","2","2008/1"
"KEC. KARANG PUCUNG","2008","2","304","2","2008/2"
"KEC. KARANG PUCUNG","2008","3","298","1","2008/3"
"KEC. KARANG PUCUNG","2008","4","102","1","2008/4"
"KEC. KARANG PUCUNG","2008","5","50","0","2008/5"
"KEC. KARANG PUCUNG","2008","6","","3","2008/6"
"KEC. KARANG PUCUNG","2008","7","","3","2008/7"
"KEC. KARANG PUCUNG","2008","8","","3","2008/8"
"KEC. KARANG PUCUNG","2008","9","","3","2008/9"
"KEC. KARANG PUCUNG","2008","10","","3","2008/10"
"KEC. KARANG PUCUNG","2008","11","583","3","2008/11"
"KEC. KARANG PUCUNG","2008","12","178","1","2008/12"
"KEC. KARANG PUCUNG","2009","1","405","2","2009/1"
"KEC. KARANG PUCUNG","2009","2","300","1","2009/2"
"KEC. KARANG PUCUNG","2009","3","467","2","2009/3"
"KEC. KARANG PUCUNG","2009","4","191","1","2009/4"
"KEC. KARANG PUCUNG","2009","5","75","0","2009/5"
"KEC. KARANG PUCUNG","2009","6","49","0","2009/6"
"KEC. KARANG PUCUNG","2009","7","21","0","2009/7"
"KEC. KARANG PUCUNG","2009","8","","3","2009/8"
"KEC. KARANG PUCUNG","2009","9","","3","2009/9"
"KEC. KARANG PUCUNG","2009","10","69","0","2009/10"
"KEC. KARANG PUCUNG","2009","11","356","2","2009/11"
"KEC. KARANG PUCUNG","2009","12","364","2","2009/12"
"KEC. KARANG PUCUNG","2010","1","280","1","2010/1"
"KEC. KARANG PUCUNG","2010","2","539","3","2010/2"
"KEC. KARANG PUCUNG","2010","3","325","2","2010/3"
"KEC. KARANG PUCUNG","2010","4","132","1","2010/4"
"KEC. KARANG PUCUNG","2010","5","395","2","2010/5"
"KEC. KARANG PUCUNG","2010","6","154","1","2010/6"
"KEC. KARANG PUCUNG","2010","7","244","1","2010/7"
"KEC. KARANG PUCUNG","2010","8","30","0","2010/8"
"KEC. KARANG PUCUNG","2010","9","512","3","2010/9"
"KEC. KARANG PUCUNG","2010","10","246","1","2010/10"
"KEC. KARANG PUCUNG","2010","11","138","1","2010/11"
"KEC. KARANG PUCUNG","2010","12","328","2","2010/12"
"KEC. KARANG PUCUNG","2011","1","374","2","2011/1"
"KEC. KARANG PUCUNG","2011","2","","3","2011/2"
"KEC. KARANG PUCUNG","2011","3","319","2","2011/3"
"KEC. KARANG PUCUNG","2011","4","123","1","2011/4"
"KEC. KARANG PUCUNG","2011","5","","3","2011/5"
"KEC. KARANG PUCUNG","2011","6","","3","2011/6"
"KEC. KARANG PUCUNG","2011","7","","3","2011/7"
"KEC. KARANG PUCUNG","2011","8","","3","2011/8"
"KEC. KARANG PUCUNG","2011","9","","3","2011/9"
"KEC. KARANG PUCUNG","2011","10","","3","2011/10"
"KEC. KARANG PUCUNG","2011","11","","3","2011/11"
"KEC. KARANG PUCUNG","2011","12","","3","2011/12"
"KEC. KARANG PUCUNG","2012","1","357","2","2012/1"
"KEC. KARANG PUCUNG","2012","2","218","1","2012/2"
"KEC. KARANG PUCUNG","2012","3","230","1","2012/3"
"KEC. KARANG PUCUNG","2012","4","246","1","2012/4"
"KEC. KARANG PUCUNG","2012","5","40","0","2012/5"
"KEC. KARANG PUCUNG","2012","6","6","0","2012/6"
"KEC. KARANG PUCUNG","2012","7","","3","2012/7"
"KEC. KARANG PUCUNG","2012","8","","3","2012/8"
"KEC. KARANG PUCUNG","2012","9","","3","2012/9"
"KEC. KARANG PUCUNG","2012","10","270","1","2012/10"
"KEC. KARANG PUCUNG","2012","11","342","2","2012/11"
"KEC. KARANG PUCUNG","2012","12","356","2","2012/12"
"KEC. KARANG PUCUNG","2013","1","471","2","2013/1"
"KEC. KARANG PUCUNG","2013","2","210","1","2013/2"
"KEC. KARANG PUCUNG","2013","3","332","2","2013/3"
"KEC. KARANG PUCUNG","2013","4","370","2","2013/4"
"KEC. KARANG PUCUNG","2013","5","184","1","2013/5"
"KEC. KARANG PUCUNG","2013","6","","3","2013/6"
"KEC. KARANG PUCUNG","2013","7","282","1","2013/7"
"KEC. KARANG PUCUNG","2013","8","","3","2013/8"
"KEC. KARANG PUCUNG","2013","9","","3","2013/9"
"KEC. KARANG PUCUNG","2013","10","190","1","2013/10"
"KEC. KARANG PUCUNG","2013","11","289","1","2013/11"
"KEC. KARANG PUCUNG","2013","12","312","2","2013/12"
"KEC. KARANG PUCUNG","2014","1","218","1","2014/1"
"KEC. KARANG PUCUNG","2014","2","316","2","2014/2"
"KEC. KARANG PUCUNG","2014","3","","3","2014/3"
"KEC. KARANG PUCUNG","2014","4","384","2","2014/4"
"KEC. KARANG PUCUNG","2014","5","28","0","2014/5"
"KEC. KARANG PUCUNG","2014","6","","3","2014/6"
"KEC. KARANG PUCUNG","2014","7","148","1","2014/7"
"KEC. KARANG PUCUNG","2014","8","43","0","2014/8"
"KEC. KARANG PUCUNG","2014","9","","3","2014/9"
"KEC. KARANG PUCUNG","2014","10","26","0","2014/10"
"KEC. KARANG PUCUNG","2014","11","412","2","2014/11"
"KEC. KARANG PUCUNG","2014","12","542","3","2014/12"
"KEC. KARANG PUCUNG","2015","1","349","2","2015/1"
"KEC. KARANG PUCUNG","2015","2","","3","2015/2"
"KEC. KARANG PUCUNG","2015","3","385","2","2015/3"
"KEC. KARANG PUCUNG","2015","4","","3","2015/4"
"KEC. KARANG PUCUNG","2015","5","192","1","2015/5"
"KEC. KARANG PUCUNG","2015","6","131","1","2015/6"
"KEC. KARANG PUCUNG","2015","7","24","0","2015/7"
"KEC. KARANG PUCUNG","2015","8","","3","2015/8"
"KEC. KARANG PUCUNG","2015","9","","3","2015/9"
"KEC. KARANG PUCUNG","2015","10","","3","2015/10"
"KEC. KARANG PUCUNG","2015","11","","3","2015/11"
"KEC. KARANG PUCUNG","2015","12","213","1","2015/12"
"KEC. KARANG PUCUNG","2016","1","133","1","2016/1"
"KEC. KARANG PUCUNG","2016","2","430","2","2016/2"
"KEC. KARANG PUCUNG","2016","3","","3","2016/3"
"KEC. KARANG PUCUNG","2016","4","257","1","2016/4"
"KEC. KARANG PUCUNG","2016","5","442","2","2016/5"
"KEC. KARANG PUCUNG","2016","6","181","1","2016/6"
"KEC. KARANG PUCUNG","2016","7","250","1","2016/7"
"KEC. KARANG PUCUNG","2016","8","100","0","2016/8"
"KEC. KARANG PUCUNG","2016","9","416","2","2016/9"
"KEC. KARANG PUCUNG","2016","10","477","2","2016/10"
"KEC. KARANG PUCUNG","2016","11","481","2","2016/11"
"KEC. KARANG PUCUNG","2016","12","212","1","2016/12"
"KEC. KARANG PUCUNG","2017","1","452","2","2017/1"
"KEC. KARANG PUCUNG","2017","2","446","2","2017/2"
"KEC. KARANG PUCUNG","2017","3","284","1","2017/3"
"KEC. KARANG PUCUNG","2017","4","542","3","2017/4"
"KEC. KARANG PUCUNG","2017","5","59","0","2017/5"
"KEC. KARANG PUCUNG","2017","6","","3","2017/6"
"KEC. KARANG PUCUNG","2017","7","","3","2017/7"
"KEC. KARANG PUCUNG","2017","8","19","0","2017/8"
"KEC. KARANG PUCUNG","2017","9","","3","2017/9"
"KEC. KARANG PUCUNG","2017","10","332","2","2017/10"
"KEC. KARANG PUCUNG","2017","11","","3","2017/11"
"KEC. KARANG PUCUNG","2017","12","","3","2017/12"
"KEC. KAWUNGANTEN_x000D_
","1993","1","487","2","1993/1"
"KEC. KAWUNGANTEN_x000D_
","1993","2","234","1","1993/2"
"KEC. KAWUNGANTEN_x000D_
","1993","3","160","1","1993/3"
"KEC. KAWUNGANTEN_x000D_
","1993","4","298","1","1993/4"
"KEC. KAWUNGANTEN_x000D_
","1993","5","66","0","1993/5"
"KEC. KAWUNGANTEN_x000D_
","1993","6","148","1","1993/6"
